City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
523,Krasnoselkup,RU,78.1,few clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
524,Ugento,IT,75.45,clear sky,39.9263,18.1574,Porta Paradiso
525,Shimanovsk,RU,72.72,heavy intensity rain,52.0,127.7,Гостиница Домашняя
526,Acara,BR,70.18,few clouds,-1.9608,-48.1967,Hotel Vale do Acará
528,Dehra Dun,IN,87.15,broken clouds,30.3167,78.0333,Delightful Stay Over looking Himalayas
529,Millbrook,US,77.16,scattered clouds,32.4799,-86.3619,Courtyard by Marriott Montgomery Prattville
530,Shushenskoye,RU,65.88,overcast clouds,53.325,91.9356,Turist
533,Campobasso,IT,69.44,few clouds,41.6333,14.5833,Le Casette al Colle
534,Payyannur,IN,80.06,broken clouds,12.1,75.2,Kavvayi Beach House
536,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
538,Biak,ID,77.04,overcast clouds,-0.9131,122.8766,Penginapan Kim
539,Hohhot,CN,86.29,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
540,Daman,IN,84.13,broken clouds,20.4167,72.85,Silver Sands Beach Resort
541,Chardara,KZ,88.57,clear sky,41.2547,67.9692,Жанаргул
544,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
546,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
547,Tabou,CI,74.32,few clouds,4.423,-7.3528,hotêl doufoulougou
548,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
549,Talbahat,IN,82.29,overcast clouds,25.05,78.4333,PWD Guest House
550,Sao Filipe,CV,76.86,overcast clouds,14.8961,-24.4956,Hotel Xaguate
551,Hambantota,LK,84.88,overcast clouds,6.1241,81.1185,Bungalow 63
553,San Patricio,US,84.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
554,Florida,US,78.75,broken clouds,28.7505,-82.5001,Sportsmens Cove
555,Mahajanga,MG,73.42,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
556,Alta Floresta,BR,69.82,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
558,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
559,Hushitai,CN,84.11,clear sky,41.9322,123.5114,Home Inn Plus Shenyang Shihutai University Town
560,Morondava,MG,68.61,clear sky,-20.2833,44.2833,La Case Bambou
565,Mertoyudan,ID,85.57,few clouds,-7.52,110.2264,Atria Hotel Magelang
568,Marawi,PH,87.4,overcast clouds,7.9986,124.2928,Derogongan Residence
570,Shahrud,IR,81.07,clear sky,36.4182,54.9763,Royal Hotel
571,Esmeralda,CU,79.84,broken clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
572,Mujiayingzi,CN,84.51,clear sky,42.1167,118.7833,Jinjiang Hotel
573,Mayumba,GA,73.33,overcast clouds,-3.432,10.6554,LIKWALE LODGE
574,Basoko,CD,70.88,light rain,1.2391,23.616,Jackyna Hotel
575,Vanimo,PG,78.8,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
